gene,p-value,chrom
COG8,0.77,chr16
WWP2,0.62,chr16
PDXDC2P-NPIPB14P,0.00473,chr16
DDX19B,0.665,chr16
DDX19A,0.624,chr16
COG4,0.0167,chr16
SF3B3,0.434,chr16
VAC14,0.574,chr16
PHLPP2,0.1024,chr16
AP1G1,0.25,chr16
ATXN1L,0.402,chr16
IST1,0.626,chr16
METRN,0.83,chr16
PKD1L3,0.96,chr16
CIAO3,0.339,chr16
HAGHL,0.38,chr16
GLG1,0.607,chr16
RFWD3,0.236,chr16
ZNRF1,0.526,chr16
BCAR1,0.0222,chr16
MON1B,0.00864,chr16
SYCE1L,0.0367,chr16
CLEC3A,0.0479,chr16
LOC107984897,0.0459,chr16
WWOX,0.456,chr16
MAF,0.0155,chr16
MPG,0.652,chr16
GAN,0.0055,chr16
PLCG2,0.0188,chr16
SDR42E1,0.148,chr16
LOC105371371,0.108,chr16
MLYCD,0.136,chr16
MBTPS1,0.108,chr16
HSDL1,0.051,chr16
DNAAF1,0.164,chr16
TAF1C,0.474,chr16
COTL1,0.371,chr16
KLHL36,0,chr16
CRISPLD2,0,chr16
ZDHHC7,0.207,chr16
KIAA0513,0.277,chr16
GSE1,0.469,chr16
METTL22,0.423,chr16
MTHFSD,0.0857,chr16
C16orf95,0.443,chr16
FBXO31,0.389,chr16
MAP1LC3B,0.125,chr16
ZCCHC14,0.0632,chr16
ABAT,0.0738,chr16
TMEM186,0.028,chr16
PMM2,0.01088,chr16
LOC100130283,0.00833,chr16
CARHSP1,0.00691,chr16
RNF166,0.0597,chr16
LOC100289580,0.0128,chr16
PIEZO1,0.0159,chr16
SPG7,0.236,chr16
CHMP1A,0.927,chr16
CDK10,0.238,chr16
SPATA2L,0.193,chr16
MC1R,0.44,chr16
AFG3L1P,0.334,chr16
GAS8,0.809,chr16
URAHP,0.114,chr16
LMF1,0.28,chr16
CEROX1,0.0551,chr16
SOX8,0.719,chr16
ATF7IP2,0.789,chr16
EMP2,2.2e-05,chr16
NUBP1,0.247,chr16
TVP23A,0.443,chr16
DEXI,0.756,chr16
CIITA,0.788,chr16
LITAF,0.0348,chr16
SNX29,0.726,chr16
MIR193BHG,0.664,chr16
TELO2,0.931,chr16
IFT140,0.191,chr16
TMEM204,0.0239,chr16
BMERB1,0.0685,chr16
MYH11,0.594,chr16
NDE1,0.591,chr16
LOC105371046,0.541,chr16
ABCC1,0.327,chr16
CRAMP1,0.0285,chr16
JPT2,0.621,chr16
MEIOB,0.278,chr16
RPS15A,0.345,chr16
SMG1,0.764,chr16
ITPRIPL2,0,chr16
SYT17,0.113,chr16
RPS2,0.016,chr16
TBL3,0.618,chr16
GPRC5B,0.673,chr16
GFER,0.0338,chr16
ZNF598,0.486,chr16
LDAF1,0.926,chr16
UQCRC2,0.321,chr16
LOC105371082,0.793,chr16
RMI2,0.775,chr16
ZC3H7A,0.762,chr16
CPPED1,0.308,chr16
UBE2I,0.425,chr16
GNPTG,0.271,chr16
UNKL,0.409,chr16
MARF1,0.128,chr16
MRPS34,0.992,chr16
EME2,0.382,chr16
SPSB3,0.4,chr16
PGP,0.231,chr16
EARS2,0.395,chr16
DCTN5,0.358,chr16
ZKSCAN2,0.0061,chr16
CLN3,0.62,chr16
SLX4,0.697,chr16
POLR3K,0.0501,chr16
SEPTIN12,0.0141,chr16
ROGDI,0.0177,chr16
GLYR1,0.789,chr16
UBN1,0.707,chr16
ADCY7,0.0551,chr16
BRD7,0.0627,chr16
LOC105371251,0.0247,chr16
CYLD,0.0261,chr16
SALL1,0.013,chr16
LPCAT2,0.463,chr16
NUDT21,0.43,chr16
OGFOD1,0.136,chr16
BBS2,0.165,chr16
MT1E,0.0861,chr16
MT1G,0.00104,chr16
HERPUD1,0.579,chr16
PSME3IP1,0.217,chr16
RSPRY1,0.323,chr16
CIAPIN1,0.936,chr16
PRSS54,0.297,chr16
CCDC113,0.296,chr16
PHAF1,0.158,chr16
GFOD2,0.755,chr16
RANBP10,0.663,chr16
NUTF2,0.895,chr16
EDC4,0.163,chr16
PSMB10,0.274,chr16
LCAT,0.792,chr16
SLC12A4,0.623,chr16
DUS2,0.386,chr16
DDX28,0.282,chr16
NFATC3,0.953,chr16
ESRP2,0.947,chr16
PLA2G15,0.102,chr16
TANGO6,0.866,chr16
DERPC,0.0273,chr16
CHTF8,0.0247,chr16
SNTB2,0.0586,chr16
CYB5B,0.116,chr16
NFAT5,0.01129,chr16
NQO1,0.019,chr16
ZNF23,0.752,chr16
ZNF19,0.809,chr16
ZNF821,0.296,chr16
DHX38,0.357,chr16
PMFBP1,0.762,chr16
WDR59,0.0335,chr16
CFDP1,0.914,chr16
TMEM170A,0.75,chr16
CHST6,0.0443,chr16
ARLNC1,0.75,chr16
CMC2,0.734,chr16
CENPN-AS1,0.26,chr16
CENPN,0.835,chr16
MPHOSPH6,0.388,chr16
CDH13,0.965,chr16
LOC102724163,0.15,chr16
HSBP1,0.144,chr16
MEAK7,0.861,chr16
USP10,0.397,chr16
EMC8,0.579,chr16
COX4I1,0.717,chr16
ZNF469,0.0912,chr16
MVD,0.0816,chr16
GALNS,0.451,chr16
TRAPPC2L,0.846,chr16
USP7,0.0183,chr16
SNORD68,0.145,chr16
RPL13,0.994,chr16
ZNF276,0.617,chr16
FANCA,0.0396,chr16
C16orf72,0.14,chr16
ERCC4,0.9,chr16
MRTFB,0.735,chr16
CLCN7,0.864,chr16
CEP20,0.693,chr16
MLST8,0.43,chr16
MOSMO,0.634,chr16
TBC1D24,0.0477,chr16
XPO6,0.808,chr16
ATXN2L,0.727,chr16
TUFM,0.859,chr16
SH2B1,0.774,chr16
NFATC2IP,0.559,chr16
LAT,0.699,chr16
SPNS1,0.605,chr16
LOC112268170,0.165,chr16
MAZ,0.163,chr16
PRRT2,0.839,chr16
PAGR1,0.0251,chr16
MVP,0.7,chr16
TNFRSF12A,0.322,chr16
HCFC1R1,0.71,chr16
ADCY9,0.439,chr16
RNPS1,0.284,chr16
GGA2,0.662,chr16
GTF3C1,0.87,chr16
LOC100128079,0.648,chr16
KATNIP,0.1,chr16
MT1A,0.25,chr16
NUP93,0.047,chr16
COQ9,0.871,chr16
DOK4,0.074,chr16
CCDC102A,0.515,chr16
ZNF319,0.269,chr16
LOC101927556,0.0777,chr16
CSNK2A2,0.0752,chr16
PIGQ,0.0148,chr16
CMTM3,0.453,chr16
PDF,0.652,chr16
TMED6,0.593,chr16
NIP7,0.61,chr16
PDPR,0.787,chr16
MTSS2,0.12,chr16
CMTR2,0.175,chr16
PSMD7,0.268,chr16
RPUSD1,0.369,chr16
OSGIN1,0.518,chr16
FOXL1,0.66,chr16
CTU2,0.633,chr16
APRT,0.00606,chr16
ZNF778,0.1011,chr16
VPS9D1,0.506,chr16
TCF25,0.588,chr16
DEF8,0.762,chr16
SNN,0.456,chr16
PDXDC1,0.0968,chr16
NTAN1,0.44,chr16
AXIN1,0.0782,chr16
ORAI3,0.129,chr16
TGFB1I1,0.229,chr16
PGAP6,0.0471,chr16
EEF2KMT,0.881,chr16
ALG1,0.879,chr16
RNF40,0.435,chr16
ZNF597,0.972,chr16
MT1DP,0.119,chr16
ADGRG1,0.647,chr16
SETD6,0.481,chr16
CNOT1,0.333,chr16
GOT2,0.56,chr16
TERF2,0.578,chr16
NOB1,0.318,chr16
ZFHX3,0.157,chr16
ADAT1,0.577,chr16
ACSF3,7e-06,chr16
GRIN2A,0.299,chr16
TXNDC11,0.233,chr16
RSL1D1-DT,0.44,chr16
GSPT1,0.488,chr16
RRN3,0.00411,chr16
LOC100505915,0.819,chr16
PKD1P6-NPIPP1,0.798,chr16
TRAF7,0.898,chr16
COG7,0.116,chr16
UBFD1,0.436,chr16
LOC652276,0.0826,chr16
SEPHS2,0.595,chr16
ZNF768,0.668,chr16
ZNF747-DT,0.728,chr16
ZNF747,0.593,chr16
ZNF689,1,chr16
LOC107983990,0.45,chr16
KRBOX5,0.458,chr16
CFAP20,0.539,chr16
BEAN1-AS1,0.591,chr16
TK2,0.545,chr16
CKLF-CMTM1,0.887,chr16
CMTM1,0.917,chr16
CKLF,0.898,chr16
CMTM4,0.00434,chr16
ITFG1,0.19,chr16
PHKB,0.511,chr16
"NAGPA",0.236,chr16
SEC14L5,0.223,chr16
RBL2,0.919,chr16
RPGRIP1L,0.408,chr16
TMEM208,0.344,chr16
FHOD1,0.808,chr16
ATP6V0D1,0.601,chr16
RIPOR1,0.9,chr16
TSNAXIP1,0.931,chr16
CENPT,0.927,chr16
PSKH1,0.323,chr16
CTRL,0.587,chr16
ATMIN,0.24,chr16
KLHDC4,0.424,chr16
SLC7A5,0.692,chr16
BFAR,0.0584,chr16
UBALD1,0.623,chr16
LOC101927978,0.181,chr16
"NAE1",0.0245,chr16
UTP4,0.0174,chr16
ZFP1,0.144,chr16
RSL1D1,0.424,chr16
NOMO1,0.413,chr16
FLYWCH2,0.15,chr16
NMRAL1,0.377,chr16
HMOX2,0.509,chr16
CDIP1,0.818,chr16
ZNF500,0.643,chr16
CX3CL1,0.569,chr16
MCRIP2,0.909,chr16
MLKL,0.289,chr16
CHST5,0.595,chr16
TMEM231,0.0911,chr16
PLEKHG4,0.639,chr16
BANP,0.927,chr16
NDEL1,0.0122,chr17
MYH10,0.249,chr17
GAS7,0.56,chr17
ABR,0.0757,chr17
SCO1,0.000585,chr17
TMEM220,0.136,chr17
ADPRM,0.234,chr17
ELAC2,0.224,chr17
HS3ST3A1,0.224,chr17
LOC100506974,0.501,chr17
COX10-DT,0.504,chr17
LOC107985014,0.534,chr17
COX10,0.489,chr17
HS3ST3B1,0.679,chr17
MYO1C,0.797,chr17
INPP5K,0.0122,chr17
PITPNA,0.249,chr17
PMP22,0.0898,chr17
TVP23C-CDRT4,0.0125,chr17
TVP23C,0.243,chr17
ZNF286A-TBC1D26,0.589,chr17
ZNF286A,0.531,chr17
SLC43A2,0.000725,chr17
TTC19,0.559,chr17
PIGL,0.036,chr17
CENPV,0.00072,chr17
TRPV2,0.275,chr17
SNHG29,0.0214,chr17
SNORD65,0.164,chr17
MPRIP,0.284,chr17
FLCN,0.0517,chr17
COPS3,0.195,chr17
MED9,0.867,chr17
PEMT,0.822,chr17
SREBF1,0.155,chr17
SMYD4,0.0146,chr17
DRG2,0.275,chr17
ALKBH5,0.145,chr17
FLII,0.221,chr17
TOP3A,0.968,chr17
SMCR8,0.412,chr17
TRIM16L,0.091,chr17
SLC5A10,0.239,chr17
FAM83G,0.244,chr17
LOC105371578,0.572,chr17
SLC47A1,0.636,chr17
ALDH3A2,0.897,chr17
USP22,0.521,chr17
LOC339260,0.00619,chr17
"NATD1",0.178,chr17
RPH3AL,0.915,chr17
MAP2K3,0.227,chr17
LINC02693,0.309,chr17
SMG6,0.0178,chr17
SGSM2,0.193,chr17
METTL16,0.689,chr17
CLUH,0.167,chr17
WSB1,0.192,chr17
KSR1,0.0441,chr17
NOS2,0.644,chr17
GIT1,0.00263,chr17
RAP1GAP2,0.0103,chr17
GOSR1,0.0394,chr17
RAB11FIP4,0.625,chr17
UTP6,0.0396,chr17
SUZ12,0.442,chr17
ZNF207,0.656,chr17
TMEM98,0.708,chr17
SLFN5,0.01026,chr17
SLFN11,0.737,chr17
SNHG30,0.499,chr17
PEX12,0.72,chr17
AP2B1,0.154,chr17
TAF15,0.0084,chr17
TRPV1,0.00835,chr17
AATF,0.16,chr17
DUSP14,0.236,chr17
SYNRG,0.425,chr17
NCBP3,0.0781,chr17
SOCS7,0.292,chr17
ARHGAP23,0.126,chr17
CAMKK1,0.959,chr17
STAC2,0.553,chr17
GSDMB,0.371,chr17
KRT10-AS1,0.321,chr17
P3H4,0.363,chr17
FKBP10,0.422,chr17
ACLY,0.155,chr17
CNP,0.506,chr17
STAT5A,0.698,chr17
CAVIN1,0.00338,chr17
ATP6V0A1,0.561,chr17
HSD17B1-AS1,0.491,chr17
HSD17B1,0.536,chr17
"NAGLU",0.348,chr17
MLX,0.184,chr17
PSMC3IP,0.744,chr17
RETREG3,0.566,chr17
TUBG2,0.575,chr17
RUNDC1,0.19,chr17
DHX8,0.192,chr17
ASB16-AS1,0.98,chr17
ASB16,0.749,chr17
TMUB2,0.883,chr17
ATXN7L3,0.655,chr17
UBTF,0.677,chr17
SLC25A39,0.79,chr17
GRN,0.687,chr17
HEXIM1,0.656,chr17
MYBBP1A,0.924,chr17
LRRC37A2,0.00209,chr17
GOSR2,0.144,chr17
LOC101927060,0.109,chr17
CDC27,0.156,chr17
ITGB3,0.0415,chr17
EFCAB13-DT,0.278,chr17
CXCL16,0.000525,chr17
EFCAB13,0.443,chr17
KPNB1-DT,0.00966,chr17
NPEPPS,0.766,chr17
MRPL10,0.978,chr17
SCRN2,0.697,chr17
SP2-AS1,0.325,chr17
SP2,0.316,chr17
PSMB6,0.718,chr17
CDK5RAP3,0.000373333333333333,chr17
COPZ2,0.482,chr17
CBX1,0.0611,chr17
HOXB2,0.981,chr17
CALCOCO2,0.521,chr17
UBE2Z,0.00943,chr17
SNF8,0.0956,chr17
CHRNE,0.211,chr17
MINK1,0.126,chr17
FLJ40194,0.746,chr17
ZNF652,0.764,chr17
ZNF652-AS1,0.904,chr17
PHB,0.927,chr17
SPOP,0.0104,chr17
KAT7,0.491,chr17
ITGA3,0.272,chr17
PDK2,0.189,chr17
SAMD14,0.737,chr17
PPP1R9B,0.868,chr17
XYLT2,0.164,chr17
LRRC59,0.548,chr17
ACSF2,0.97,chr17
CHAD,0.896,chr17
RSAD1,0.385,chr17
ABCC3,0.136,chr17
ANKRD40,0.21,chr17
LUC7L3,0.693,chr17
SPAG9,0.0426,chr17
NME2,0.512,chr17
NME1-NME2,0.441,chr17
UTP18,0.839,chr17
NUP88,0.192,chr17
RABEP1,0.491,chr17
DHX33,0.508,chr17
C1QBP,0.65,chr17
DERL2,0.946,chr17
MIS12,0.184,chr17
TOM1L1,0.371,chr17
COX11,0.405,chr17
STXBP4,0.437,chr17
NLRP1,0.135,chr17
TRIM25,0.0889,chr17
AKAP1,0.756,chr17
MSI2,0.211,chr17
CUEDC1,0.123,chr17
MTMR4,0.238,chr17
TRIM37,0.767,chr17
SKA2,0.795,chr17
SMG8,0.508,chr17
MIR21,0.0442,chr17
VMP1,0.049,chr17
TUBD1,0.173,chr17
RNFT1-DT,0.627,chr17
RPS6KB1,0.534,chr17
RNFT1,0.192,chr17
TBX4,0.384,chr17
MRC2,0.943,chr17
MAP3K3,0.0754,chr17
STRADA,0.00982,chr17
CCDC47,0.0365,chr17
DDX42,0.355,chr17
ERN1,0.396,chr17
PLEKHM1P1,0.675,chr17
AXIN2,0.0799,chr17
CEP112,0.65,chr17
KIAA0753,0.843,chr17
MED31,0.1094,chr17
PRKCA,0.0972,chr17
HELZ,0.165,chr17
PSMD12,0.364,chr17
PITPNC1,0.0221,chr17
NOL11,0.92,chr17
AMZ2,0.12,chr17
ARSG,0.00948,chr17
WIPI1,0.00221,chr17
PRKAR1A,2.1e-05,chr17
EIF5A,0.595,chr17
GPS2,0.956,chr17
SSTR2,0.0648,chr17
NEURL4,0.853,chr17
CDC42EP4,0.147,chr17
SDK2,0.0428,chr17
KCTD11,0.109,chr17
TNK1,0.125,chr17
NLGN2,0.0385,chr17
TLCD3A,0.0251,chr17
FGF11,0.758,chr17
TMEM102,0.448,chr17
GEMIN4,0.351,chr17
CHRNB1,0.844,chr17
ZBTB4,0.321,chr17
MRPL58,0.95,chr17
POLR2A,0.0691,chr17
ATP5PD,0.988,chr17
KCTD2,0.836,chr17
ARMC7,0.898,chr17
NUP85,0.00712,chr17
TMEM94,0.33,chr17
TNFSF12-TNFSF13,0.444,chr17
TNFSF13,0.893,chr17
ABCA5,0.0002525,chr17
DVL2,0.553,chr17
LINC00673,0.162,chr17
SLC39A11,0.119,chr17
TMEM104,0.395,chr17
CDR2L,0.431,chr17
MYO15B,0.815,chr17
RECQL5,0.662,chr17
SAP30BP,0.119,chr17
H3-3B,0.101,chr17
UNK,0.509,chr17
WBP2,0.34,chr17
TRIM47,0.00051,chr17
TRIM65,0.83,chr17
MRPL38,0.488,chr17
FBF1,0.282,chr17
ACOX1,0.000805,chr17
SRP68,0.529,chr17
EXOC7,0.607,chr17
ZACN,0.849,chr17
UBALD2,0.87,chr17
QRICH2,0.512,chr17
RHBDF2,0.308,chr17
CYGB,0.168,chr17
PRCD,0.171,chr17
TEN1,0.883,chr17
TEN1-CDK3,0.889,chr17
GLOD4,0.328,chr17
SAT2,1,chr17
SHBG,1,chr17
UBE2O,0.0855,chr17
JMJD6,0.225,chr17
SEC14L1,0.362,chr17
SEPTIN9,0.0318,chr17
BIRC5,0.751,chr17
PGS1,0.283,chr17
KDM6B,0.00503,chr17
CYTH1,0.0153,chr17
USP36,0.0563,chr17
CEP295NL,0.496,chr17
TIMP2,0.495,chr17
CANT1,0.199,chr17
C1QTNF1,0.647,chr17
ENGASE,0.000476666666666667,chr17
CNTROB,0.432,chr17
TBC1D16,0.0109,chr17
NXN,0.0306,chr17
EIF4A3,0.101,chr17
RNF213,0.0652,chr17
ENDOV,0.763,chr17
RPTOR,0.875,chr17
BAIAP2-DT,0.351,chr17
SLC38A10,0.849,chr17
BAHCC1,0.0552,chr17
PER1,0.743,chr17
ACTG1,0.465,chr17
VAMP2,0.000236,chr17
NPLOC4,0.763,chr17
TSPAN10,0.94,chr17
CCDC137,0.264,chr17
ARL16,0.0578,chr17
HGS,0.211,chr17
TMEM107,0.496,chr17
P4HB,0.645,chr17
MAFG,0.175,chr17
SIRT7,0.184,chr17
CCDC57,0.0249,chr17
LINC00324,0.826,chr17
CTC1,0.527,chr17
CSNK1D,0.71,chr17
SLC16A3,0.638,chr17
FN3KRP,0.635,chr17
TBCD,0.279,chr17
B3GNTL1,0.197,chr17
MAP2K4,0.722,chr17
MEIS3P1,0.402,chr17
RAI1,0.557,chr17
LOC107984989,0.328,chr17
DRC3,0.479,chr17
LLGL1,0.076,chr17
TBC1D28,0.213,chr17
ZNF286B,0.841,chr17
FOXO3B,0.0394,chr17
MFAP4,0.59,chr17
AKAP10,0.153,chr17
SPECC1,0.164,chr17
USP32P3,0.811,chr17
SRR,0.523,chr17
TSR1,0.623,chr17
LGALS9,0.0525,chr17
TNFAIP1,0.8,chr17
POLDIP2,0.531,chr17
TMEM199,0.856,chr17
SLC46A1,0.826,chr17
SARM1,0.856,chr17
RSKR,0.00639,chr17
UNC119,0.0284,chr17
MYO18A,0.496,chr17
TIAF1,0.7,chr17
NUFIP2,0.0596,chr17
TAOK1,0.0313,chr17
ABHD15,0.575,chr17
SSH2,0.94,chr17
NSRP1,0.568,chr17
BLMH,0.625,chr17
TEFM,0.709,chr17
NF1,0.00035,chr17
MYO1D,0.0433,chr17
RFFL,0.368,chr17
SHPK,0.561,chr17
CTNS,0.915,chr17
TAX1BP3,0.251,chr17
TADA2A,0.947,chr17
CISD3,0.275,chr17
PCGF2,0.177,chr17
PSMB3,0.0283,chr17
CWC25,0.0191,chr17
LASP1,0.00811,chr17
LOC105371768,0.294,chr17
CACNB1,0.292,chr17
ERBB2,0.0161,chr17
ZZEF1,0.36,chr17
NR1D1,0.126,chr17
CASC3,0.679,chr17
TOP2A,0.935,chr17
IGFBP4,0.53,chr17
SMARCE1,0.22,chr17
CYB5D2,0.529,chr17
ANKFY1,0.132,chr17
KAT2A,0.21,chr17
GHDC,0.622,chr17
ARL4D,0.507,chr17
G6PC3,0.283,chr17
YWHAE,0.518,chr17
TRIM16,0.213,chr17
CDRT1,0.226,chr17
SNORD49B,0.472,chr17
MIR22HG,0.94,chr17
SERPINF1,0.249,chr17
NMT1,0.431,chr17
PLCD3,0.374,chr17
HEXIM2-AS1,0.324,chr17
PLEKHM1,0.897,chr17
KANSL1,0.00601,chr17
NSF,0.0291,chr17
MED11,0.685,chr17
TBKBP1,0.397,chr17
PLD2,0.298,chr17
PHOSPHO1,0.323,chr17
KIF1C,0.313,chr17
TMEM92,0.759,chr17
NME1,0.284,chr17
MBTD1,0.122,chr17
VPS53,0.915,chr17
ZNF594,0.283,chr17
HLF,0.428,chr17
MMD,0.347,chr17
PCTP,0.975,chr17
C17orf67,0.465,chr17
DGKE,0.337,chr17
TSPOAP1-AS1,0.483,chr17
RNF43,0.473,chr17
SUPT4H1,0.481,chr17
RAD51C,0.888,chr17
PRR11,0.52,chr17
YPEL2,0.207,chr17
HEATR6,0.864,chr17
APPBP2,0.662,chr17
PSMC5,0.0425,chr17
POLG2,0.395,chr17
DDX5,0.506,chr17
XAF1,0.0154,chr17
BPTF,0.82,chr17
FAM20A,0.511,chr17
ABCA9,0.0234,chr17
ABCA9-AS1,0.0189,chr17
MAP2K6,0.0113,chr17
ALOX12-AS1,0.291,chr17
MIR497HG,0.103,chr17
ALOX12,0.31,chr17
SLC16A13,0.567,chr17
LINC01152,0.942,chr17
LOC102723517,0.0302,chr17
SOX9-AS1,0.0234,chr17
LINC02097,0.0916,chr17
SOX9,0.0358,chr17
CLDN7,0.349,chr17
CTDNEP1,0.165,chr17
SLC9A3R1,0.444,chr17
"NAT9",0.403,chr17
SPHK1,0.567,chr17
SNHG16,0.00598,chr17
ST6GALNAC2,0.0637,chr17
TNRC6C,0.351,chr17
SYNGR2,0.145,chr17
SGSH,0.442,chr17
SLC26A11,0.268,chr17
FASN,0.88,chr17
OGFOD3,0.129,chr17
PFAS,0.221,chr17
FOXK2,0.767,chr17
RANGRF,0.347,chr17
SLC25A35,0.397,chr17
GLP2R,0.0128,chr17
RPA1,0.102,chr17
OVCA2,0.119,chr17
DPH1,0.987,chr17
NLK,0.0328,chr17
SPAG5-AS1,0.0393,chr17
SUPT6H,0.0806,chr17
TRAF4,0.184,chr17
DHRS13,0.12,chr17
SUZ12P1,0.0276,chr17
CRLF3,0.0223,chr17
CCT6B,0.537,chr17
LIG3,0.75,chr17
RAD51L3-RFFL,0.041,chr17
RAD51D,0.407,chr17
ZNHIT3,0.435,chr17
MYO19,0.682,chr17
GGNBP2,0.746,chr17
RPL23,0.994,chr17
MED1,0.24,chr17
KRT222,0.288,chr17
DUSP3,0.462,chr17
DCAKD,0.0447,chr17
ARHGAP27,0.212,chr17
KPNB1,0.473,chr17
PNPO,0.0466,chr17
COL1A1,0.00668,chr17
RPAIN,0.921,chr17
SCPEP1,0.157,chr17
MED13,0.0892,chr17
RNASEK-C17orf49,0.297,chr17
C17orf49,0.321,chr17
MIR497,0.32,chr17
DLG4,0.251,chr17
LINC00511,0.677,chr17
C17orf80,0.23,chr17
CPSF4L,0.147,chr17
CASKIN2,0.539,chr17
SNHG20,0.71,chr17
MRM3,0.17,chr17
"NAA38",0.0286,chr17
MIR3184,0.826,chr17
MIR423,0.85,chr17
CHMP6,0.971,chr17
BAIAP2,0.184,chr17
AATK,0.206,chr17
DCXR,0.58,chr17
WDR45B,0.536,chr17
KRBA2,0.987,chr17
RPL26,0.224,chr17
PITPNA-AS1,0.999,chr17
LRRC75A,0.163,chr17
SHMT1,0.653,chr17
PRPSAP2,0.0498,chr17
SMURF2P1-LRRC37BP1,0.398,chr17
C17orf75,0.0564,chr17
CCL2,0.0654,chr17
SLFN12,1,chr17
ACACA,0.668,chr17
MRPL45,0.0611,chr17
KRT10,0.154,chr17
RAB5C,0.618,chr17
VAT1,0.868,chr17
BRCA1,0.127,chr17
NBR2,0.125,chr17
LOC101929767,0.52,chr17
NBR1,0.126,chr17
CCDC200,0.478,chr17
TMEM106A,0.157,chr17
RFLNB,0.0216,chr17
LINC02210-CRHR1,0.97,chr17
LINC02210,0.967,chr17
DDX52,0.698,chr17
PIP4K2B,0.406,chr17
CAMTA2,0.674,chr17
DLX4,0.000103,chr17
ZFP3,0.845,chr17
MRPS23,0.433,chr17
VEZF1,0.378,chr17
SRSF1,0.00949,chr17
DYNLL2,0.115,chr17
KPNA2,0.993,chr17
ABCA8,0.964,chr17
GABARAP,0.726,chr17
ELP5,0.351,chr17
TSEN54,0.932,chr17
EIF4A1,0.109,chr17
CD68,0.473,chr17
PRPSAP1,0.0577,chr17
AFMID,0.841,chr17
DNAH17,0.00146,chr17
CARD14,0.316,chr17
PRPF8,0.569,chr17
TVP23B,0.474,chr17
CCDC144CP,0.1039,chr17
PSMD3,0.977,chr17
MED24,0.393,chr17
THRA,0.41,chr17
RARA,0.0647,chr17
ODAD4,0.643,chr17
DNAJC7,0.0864,chr17
DHX58,0.192,chr17
EFTUD2,0.924,chr17
PAFAH1B1,0.647,chr17
NEK8,0.351,chr17
FLOT2,0.741,chr17
LOC105371492,0.535,chr17
MLLT6,0.702,chr17
STARD3,0.909,chr17
ACBD4,0.0789,chr17
PELP1,0.201,chr17
MRPL45P2,0.119,chr17
ENO3,0.438,chr17
SLC35B1,0.48,chr17
DLX3,0.963,chr17
SPATA20,0.118,chr17
SEPTIN4-AS1,0.667,chr17
SEPTIN4,0.665,chr17
GH1,0.792,chr17
CD79B,0.755,chr17
TXNDC17,0.0237,chr17
COG1,0.78,chr17
FAM104A,0.675,chr17
TNFSF12,0.122,chr17
SENP3-EIF4A1,0.00286,chr17
SENP3,0.00429,chr17
MXRA7,0.608,chr17
WRAP53,0.782,chr17
GAA,0.924,chr17
TEPSIN,0.452,chr17
HEXD,0.674,chr17
RAB40B,0.717,chr17
METRNL,0.783,chr17
CRK,0.0902,chr17
CDRT4,0.00108,chr17
ZSWIM7,0.00228,chr17
NCOR1,0.991,chr17
RILP,0.112,chr17
ZNF287,0.702,chr17
RASD1,0.596,chr17
MNT,0.328,chr17
KIAA0100,0.704,chr17
RAB34,0.00383,chr17
TLCD1,0.129,chr17
CPD,0.806,chr17
RNF135,0.102,chr17
FBXL20,0.0655,chr17
ORMDL3,0.0778,chr17
MSL1,0.933,chr17
WIPF2,0.27,chr17
CDC6,0.363,chr17
EZH1,0.211,chr17
LINC00910,0.0578,chr17
LOC105371795,0.998,chr17
HEXIM2,0.992,chr17
NFE2L1,0.0877,chr17
INCA1,0.588,chr17
ZNF232,0.00963,chr17
SMURF2,0.593,chr17
C17orf100,0.797,chr17
ACADVL,0.0714,chr17
SNORA48,0.0463,chr17
SNORD1C,0.173,chr17
C1QTNF1-AS1,0.206,chr17
GPS1,0.895,chr17
CYBC1,0.513,chr17
"NARF",0.68,chr17
COIL,0.0651,chr17
DCAF7,0.153,chr17
MPP3,0.679,chr17
TK1,0.288,chr17
PTPN2,0.0293,chr18
CEP192,0.397,chr18
LDLRAD4,0.311,chr18
ZNF519,0.443,chr18
TMEM241,0.392,chr18
RIOK3,0.109,chr18
RMC1,0.691,chr18
NPC1,0.0136,chr18
NDC80,0.0921,chr18
TAF4B,0.456,chr18
KCTD1,0.7,chr18
LPIN2,0.101,chr18
DSC2,0.151,chr18
B4GALT6,0.369,chr18
COLEC12,0.00115,chr18
TRAPPC8,0.146,chr18
GAREM1,0.498,chr18
TGIF1,0.569,chr18
MAPRE2,0.375,chr18
INO80C,0.251,chr18
ELP2,0.362,chr18
MOCOS,0.161,chr18
KIAA1328,0.122,chr18
PSTPIP2,0.0802,chr18
PIAS2,0.519,chr18
IER3IP1,0.654,chr18
ZBTB7C,0.309,chr18
CTIF,0.452,chr18
C18orf32,0.0281,chr18
RPL17-C18orf32,0.218,chr18
RPL17,0.227,chr18
SNHG22,0.343,chr18
MYO5B,0.269,chr18
CXXC1,0.452,chr18
ME2,0.741,chr18
SMAD4,0.0674,chr18
LINC00526,0.0294,chr18
LINC00667,0.112,chr18
ZBTB14,0.908,chr18
MBD2,0.304,chr18
POLI,0.316,chr18
TCF4,0.761,chr18
TXNL1,0.218,chr18
WDR7,0.309,chr18
WDR7-OT1,0.0877,chr18
"NARS1",0.237,chr18
LOC100505549,0.0152,chr18
LOC105372141,0.045,chr18
ATP8B1,0.1,chr18
LMAN1,0.289,chr18
PIGN,0.0656,chr18
BCL2,0.585,chr18
